"WAVE","FAMILLE","GENRE","TAXON_PROPOSE","TYPE","JUSTIFICATION","PRIORITE","PARENT_HUB","PHOTO_STATUS","SOURCE_STATUS","SEO_VALUE","GEO_VALUE","ENCYCLOPEDIA_VALUE","COMMERCIAL_RELEVANCE"
"P1","Piperaceae","Peperomia","Peperomia argyraea","ESPECE","Corrige le hub sans fiche et possède déjà un média local CC BY-SA vérifié.","P1","/plantes/peperomia","EXISTING_SAFE_MEDIA","CONTENT_RESEARCH_REQUIRED","HIGH","HIGH","HIGH","MEDIUM"
"P1","Araceae","Epipremnum","Epipremnum aureum","ESPECE","Espèce socle du seul cultivar Epipremnum actuellement publié ; média local CC BY-SA vérifié.","P1","/plantes/epipremnum","EXISTING_SAFE_MEDIA","CONTENT_RESEARCH_REQUIRED","HIGH","HIGH","HIGH","HIGH"
"P1","Araceae","Philodendron","Philodendron hastatum","ESPECE","Taxon accepté, populaire et déjà représenté par un média contrôlé dans Jungle.","P1","/plantes/philodendron","EXISTING_SAFE_MEDIA","CONTENT_RESEARCH_REQUIRED","HIGH","HIGH","HIGH","HIGH"
"P1","Marantaceae","Goeppertia","Goeppertia orbifolia","ESPECE","Le hub Calathea ne contient aucune fiche ; le brouillon existant doit corriger son origine vers le Brésil oriental avant publication.","P1","/plantes/calathea","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_CORRECTION_AND_RESEARCH_REQUIRED","HIGH","HIGH","HIGH","HIGH"
"P1","Cactaceae","Schlumbergera","Schlumbergera truncata","ESPECE","Donne un premier taxon substantiel au hub Cactus sans confondre cactus de forêt et cactus désertiques.","P1","/plantes/cactus","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","HIGH","MEDIUM","HIGH","HIGH"
"P1","Polypodiaceae","Nephrolepis","Nephrolepis exaltata","ESPECE","Première fiche représentative pour le hub Fougères aujourd’hui vide.","P1","/plantes/fougeres","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","HIGH","MEDIUM","HIGH","HIGH"
"P1","Araceae","Philodendron","Philodendron verrucosum","ESPECE","Espèce collector majeure, morphologiquement et éditorialement distincte.","P1","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","HIGH","MEDIUM","HIGH","HIGH"
"P1","Araceae","Philodendron","Philodendron squamiferum","ESPECE","Espèce reconnaissable par ses pétioles écailleux, utile pour la comparaison botanique.","P1","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","MEDIUM","HIGH","MEDIUM"
"P1","Araceae","Philodendron","Philodendron brandtianum","ESPECE","Espèce argentée populaire et distincte des cultivars d’hederaceum.","P1","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","MEDIUM","HIGH","HIGH"
"P1","Araceae","Philodendron","Philodendron erubescens","ESPECE","Taxon de référence utile pour contextualiser plusieurs sélections horticoles du genre.","P1","/plantes/philodendron","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","MEDIUM","HIGH","HIGH"
"P1","Araceae","Monstera","Monstera acuminata","ESPECE","Espèce acceptée et distincte, pertinente pour compléter les formes grimpantes juvéniles.","P1","/plantes/monstera","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","MEDIUM","HIGH","MEDIUM"
"P1","Araceae","Monstera","Monstera subpinnata","ESPECE","Espèce acceptée à morphologie adulte très distinctive.","P1","/plantes/monstera","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","MEDIUM","HIGH","MEDIUM"
"P1","Araceae","Monstera","Monstera sp. ‘Peru’","SELECTION","Nom commercial à fort intérêt mais relation avec M. karstenianum à résoudre avant toute route.","P1","/plantes/monstera","OWNER_OR_LICENSED_PHOTO_REQUIRED","TAXONOMY_RESEARCH_REQUIRED","HIGH","MEDIUM","MEDIUM","HIGH"
"P1","Araceae","Anthurium","Anthurium villenaorum","ESPECE","Espèce de collection importante et visuellement distincte.","P1","/plantes/anthurium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","MEDIUM","HIGH","HIGH"
"P1","Araceae","Anthurium","Anthurium pedatoradiatum","ESPECE","Morphologie pédatée très différente des Anthurium veloutés déjà couverts.","P1","/plantes/anthurium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","HIGH","MEDIUM"
"P1","Araceae","Anthurium","Anthurium radicans","ESPECE","Taxon accepté utile pour documenter la forme rampante et les hybrides commerciaux associés.","P1","/plantes/anthurium","OWNER_OR_LICENSED_PHOTO_REQUIRED","CONTENT_RESEARCH_REQUIRED","MEDIUM","LOW","HIGH","MEDIUM"
